dateTime,timestamp,status,latitude,latitudeDirection,longitude,longitudeDirection,speedOverGround,trueCourse,dateStamp,magVariation,magVariationDirection
2019-04-30 22:27:55.053770,22:27:55,A,3259.52720,N,09645.46986,W,0.071,,2019-04-30,,
2019-04-30 22:27:58.054743,22:27:58,A,3259.52714,N,09645.46994,W,0.115,,2019-04-30,,
2019-04-30 22:28:01.053941,22:28:01,A,3259.52734,N,09645.47005,W,0.139,,2019-04-30,,
2019-04-30 22:28:04.058153,22:28:04,A,3259.52749,N,09645.47017,W,0.111,,2019-04-30,,
2019-04-30 22:28:09.054505,22:28:09,A,3259.52766,N,09645.47028,W,0.197,,2019-04-30,,
2019-04-30 22:28:12.055606,22:28:12,A,3259.52780,N,09645.47038,W,0.128,,2019-04-30,,
2019-04-30 22:28:15.054996,22:28:15,A,3259.52790,N,09645.47049,W,0.175,,2019-04-30,,
2019-04-30 22:28:18.055676,22:28:18,A,3259.52807,N,09645.47055,W,0.084,,2019-04-30,,
2019-04-30 22:28:21.051950,22:28:21,A,3259.52828,N,09645.47058,W,0.028,,2019-04-30,,
2019-04-30 22:28:24.054474,22:28:24,A,3259.52844,N,09645.47058,W,0.097,,2019-04-30,,
2019-04-30 22:28:27.052563,22:28:27,A,3259.52864,N,09645.47065,W,0.071,,2019-04-30,,
2019-04-30 22:28:30.055510,22:28:30,A,3259.52847,N,09645.47066,W,0.086,,2019-04-30,,
2019-04-30 22:28:33.054375,22:28:33,A,3259.52848,N,09645.47066,W,0.079,,2019-04-30,,
2019-04-30 22:28:36.055718,22:28:36,A,3259.52839,N,09645.47069,W,0.054,,2019-04-30,,
2019-04-30 22:28:39.051557,22:28:39,A,3259.52840,N,09645.47075,W,0.113,,2019-04-30,,
2019-04-30 22:28:42.054754,22:28:42,A,3259.52860,N,09645.47080,W,0.04,,2019-04-30,,
2019-04-30 22:28:45.053666,22:28:45,A,3259.52882,N,09645.47096,W,0.179,,2019-04-30,,
2019-04-30 22:28:48.056053,22:28:48,A,3259.52899,N,09645.47109,W,0.033,,2019-04-30,,
2019-04-30 22:28:51.054939,22:28:51,A,3259.52889,N,09645.47111,W,0.087,,2019-04-30,,
2019-04-30 22:28:54.056731,22:28:54,A,3259.52918,N,09645.47117,W,0.132,,2019-04-30,,
2019-04-30 22:28:57.049998,22:28:57,A,3259.52939,N,09645.47121,W,0.131,,2019-04-30,,
2019-04-30 22:29:02.056260,22:29:02,A,3259.52991,N,09645.47115,W,0.215,,2019-04-30,,
2019-04-30 22:29:05.052249,22:29:05,A,3259.52997,N,09645.47113,W,0.062,,2019-04-30,,
2019-04-30 22:29:08.054003,22:29:08,A,3259.53002,N,09645.47101,W,0.072,,2019-04-30,,
2019-04-30 22:29:11.054269,22:29:11,A,3259.52994,N,09645.47094,W,0.023,,2019-04-30,,
2019-04-30 22:29:14.055897,22:29:14,A,3259.53006,N,09645.47089,W,0.011,,2019-04-30,,
2019-04-30 22:29:17.054825,22:29:17,A,3259.53008,N,09645.47087,W,0.03,,2019-04-30,,
2019-04-30 22:29:20.056161,22:29:20,A,3259.53016,N,09645.47083,W,0.075,,2019-04-30,,
2019-04-30 22:29:23.054194,22:29:23,A,3259.53018,N,09645.47084,W,0.022,,2019-04-30,,
2019-04-30 22:29:26.054509,22:29:26,A,3259.53036,N,09645.47084,W,0.046,,2019-04-30,,
2019-04-30 22:29:31.053963,22:29:31,A,3259.53050,N,09645.47091,W,0.141,,2019-04-30,,
2019-04-30 22:29:34.054970,22:29:34,A,3259.53082,N,09645.47096,W,0.016,,2019-04-30,,
2019-04-30 22:29:37.052251,22:29:37,A,3259.53100,N,09645.47099,W,0.073,,2019-04-30,,
2019-04-30 22:29:40.055465,22:29:40,A,3259.53127,N,09645.47108,W,0.165,,2019-04-30,,
2019-04-30 22:29:43.050609,22:29:43,A,3259.53136,N,09645.47117,W,0.055,,2019-04-30,,
2019-04-30 22:29:46.054297,22:29:46,A,3259.53161,N,09645.47119,W,0.094,,2019-04-30,,
2019-04-30 22:29:49.053505,22:29:49,A,3259.53147,N,09645.47116,W,0.006,,2019-04-30,,
2019-04-30 22:29:52.053249,22:29:52,A,3259.53148,N,09645.47120,W,0.05,,2019-04-30,,
2019-04-30 22:29:57.052353,22:29:57,A,3259.53124,N,09645.47120,W,0.036,,2019-04-30,,
2019-04-30 22:30:00.055036,22:30:00,A,3259.53116,N,09645.47120,W,0.023,,2019-04-30,,
2019-04-30 22:30:05.054282,22:30:05,A,3259.53087,N,09645.47114,W,0.026,,2019-04-30,,
2019-04-30 22:30:08.055397,22:30:08,A,3259.53087,N,09645.47119,W,0.058,,2019-04-30,,
2019-04-30 22:30:11.054057,22:30:11,A,3259.53096,N,09645.47130,W,0.075,,2019-04-30,,
2019-04-30 22:30:14.055552,22:30:14,A,3259.53105,N,09645.47146,W,0.051,,2019-04-30,,
2019-04-30 22:30:17.052056,22:30:17,A,3259.53121,N,09645.47157,W,0.161,,2019-04-30,,
2019-04-30 22:30:20.056132,22:30:20,A,3259.53100,N,09645.47159,W,0.224,,2019-04-30,,
2019-04-30 22:30:23.054110,22:30:23,A,3259.53121,N,09645.47168,W,0.05,,2019-04-30,,
2019-04-30 22:30:26.057186,22:30:26,A,3259.53130,N,09645.47171,W,0.014,,2019-04-30,,
2019-04-30 22:30:29.053925,22:30:29,A,3259.53107,N,09645.47170,W,0.118,,2019-04-30,,
2019-04-30 22:30:32.055123,22:30:32,A,3259.53079,N,09645.47167,W,0.118,,2019-04-30,,
2019-04-30 22:30:35.052254,22:30:35,A,3259.53064,N,09645.47159,W,0.081,,2019-04-30,,
2019-04-30 22:30:38.056233,22:30:38,A,3259.53050,N,09645.47153,W,0.021,,2019-04-30,,
2019-04-30 22:30:41.053285,22:30:41,A,3259.53046,N,09645.47149,W,0.037,,2019-04-30,,
2019-04-30 22:30:44.056077,22:30:44,A,3259.53052,N,09645.47154,W,0.093,,2019-04-30,,
2019-04-30 22:30:47.053891,22:30:47,A,3259.53034,N,09645.47153,W,0.113,,2019-04-30,,
2019-04-30 22:30:50.055146,22:30:50,A,3259.53024,N,09645.47148,W,0.138,,2019-04-30,,
2019-04-30 22:30:53.054818,22:30:53,A,3259.53023,N,09645.47150,W,0.054,,2019-04-30,,
2019-04-30 22:30:56.057534,22:30:56,A,3259.53021,N,09645.47151,W,0.132,,2019-04-30,,
2019-04-30 22:30:59.054152,22:30:59,A,3259.53009,N,09645.47155,W,0.12,,2019-04-30,,
2019-04-30 22:31:02.057124,22:31:02,A,3259.53021,N,09645.47160,W,0.036,,2019-04-30,,
2019-04-30 22:31:05.053135,22:31:05,A,3259.53000,N,09645.47161,W,0.17,,2019-04-30,,
2019-04-30 22:31:08.055380,22:31:08,A,3259.52976,N,09645.47150,W,0.032,,2019-04-30,,
2019-04-30 22:31:11.053108,22:31:11,A,3259.52946,N,09645.47141,W,0.082,,2019-04-30,,
2019-04-30 22:31:14.054364,22:31:14,A,3259.52950,N,09645.47145,W,0.114,,2019-04-30,,
2019-04-30 22:31:17.054452,22:31:17,A,3259.52949,N,09645.47132,W,0.085,,2019-04-30,,
2019-04-30 22:31:20.056876,22:31:20,A,3259.52913,N,09645.47106,W,0.078,,2019-04-30,,
2019-04-30 22:31:23.054725,22:31:23,A,3259.52859,N,09645.47065,W,0.149,,2019-04-30,,
2019-04-30 22:31:26.053651,22:31:26,A,3259.52846,N,09645.47056,W,0.204,,2019-04-30,,
2019-04-30 22:31:31.055329,22:31:31,A,3259.52805,N,09645.47037,W,0.095,,2019-04-30,,
2019-04-30 22:31:34.056254,22:31:34,A,3259.52796,N,09645.47034,W,0.047,,2019-04-30,,
2019-04-30 22:31:37.052304,22:31:37,A,3259.52825,N,09645.47055,W,0.013,,2019-04-30,,
2019-04-30 22:31:40.056143,22:31:40,A,3259.52843,N,09645.47080,W,0.043,,2019-04-30,,
2019-04-30 22:31:43.054582,22:31:43,A,3259.52862,N,09645.47098,W,0.256,,2019-04-30,,
2019-04-30 22:31:46.055537,22:31:46,A,3259.52881,N,09645.47120,W,0.08,,2019-04-30,,
2019-04-30 22:31:49.053956,22:31:49,A,3259.52889,N,09645.47139,W,0.087,,2019-04-30,,
2019-04-30 22:31:52.056079,22:31:52,A,3259.52896,N,09645.47153,W,0.12,,2019-04-30,,
2019-04-30 22:31:55.051979,22:31:55,A,3259.52894,N,09645.47156,W,0.065,,2019-04-30,,
2019-04-30 22:32:00.057148,22:32:00,A,3259.52886,N,09645.47144,W,0.055,,2019-04-30,,
2019-04-30 22:32:03.054835,22:32:03,A,3259.52899,N,09645.47142,W,0.128,,2019-04-30,,
2019-04-30 22:32:06.060249,22:32:06,A,3259.52904,N,09645.47139,W,0.222,,2019-04-30,,
2019-04-30 22:32:09.053350,22:32:09,A,3259.52919,N,09645.47133,W,0.053,,2019-04-30,,
2019-04-30 22:32:12.056024,22:32:12,A,3259.52925,N,09645.47119,W,0.046,,2019-04-30,,
2019-04-30 22:32:15.054021,22:32:15,A,3259.52930,N,09645.47100,W,0.093,,2019-04-30,,
2019-04-30 22:32:18.054921,22:32:18,A,3259.52951,N,09645.47091,W,0.127,,2019-04-30,,
2019-04-30 22:32:21.052274,22:32:21,A,3259.52958,N,09645.47084,W,0.016,,2019-04-30,,
2019-04-30 22:32:24.052454,22:32:24,A,3259.52975,N,09645.47083,W,0.154,,2019-04-30,,
2019-04-30 22:32:29.052374,22:32:29,A,3259.53005,N,09645.47085,W,0.047,,2019-04-30,,
